IncDay	Incubation	Type	Habitat	Group	SampleDay	Prod12CO2.ug.day	Prod13CO2.ug.day	TotalCO2.ug.day	Prod12CH4.ug.day	Prod13CH4.ug.day	TotalCH4.ug.day	gCLit	gCPeat
II_Palsa_C1_d5	II_Palsa_C1	Control	Palsa	Two	5	452.81208625194	5.31180865373021	458.12389490567	0	0	0	0	2.88
II_Palsa_C2_d1	II_Palsa_C2	Control	Palsa	Two	1	2608.96707325161	24.3451300777639	2633.31220332938	0	0	0	0	2.88
II_Palsa_C2_d10	II_Palsa_C2	Control	Palsa	Two	10	468.374702909659	5.49291036222441	473.867613271883	0	0	0	0	2.88
II_Palsa_C2_d15	II_Palsa_C2	Control	Palsa	Two	15	458.849511771264	5.36899862722453	464.218510398488	0	0	0	0	2.88
II_Palsa_C2_d5	II_Palsa_C2	Control	Palsa	Two	5	578.131203155411	6.885447507449	585.01665066286	0	0	0	0	2.88
II_Palsa_C3_d1	II_Palsa_C3	Control	Palsa	Two	1	2314.84263876532	21.2250349478458	2336.06767371317	0	0	0	0	2.88
II_Palsa_C3_d10	II_Palsa_C3	Control	Palsa	Two	10	386.130156253839	4.45994959072726	390.590105844567	0	0	0	0	2.88
II_Palsa_C3_d15	II_Palsa_C3	Control	Palsa	Two	15	367.151334988859	4.22128514116535	371.372620130024	0	0	0	0	2.88
II_Palsa_C3_d5	II_Palsa_C3	Control	Palsa	Two	5	449.285022265141	5.27148442320495	454.556506688346	0	0	0	0	2.88
II_Palsa_E1_d1	II_Palsa_E1	Enriched	Palsa	Two	1	2324.19643186766	837.095696642964	3161.29212851062	0	0	0	0.2581	2.88
II_Palsa_E1_d10	II_Palsa_E1	Enriched	Palsa	Two	10	791.592296287172	414.535148010476	1206.12744429765	0	0	0.154544610984208	0.2581	2.88
II_Palsa_E1_d15	II_Palsa_E1	Enriched	Palsa	Two	15	636.421307791648	273.42171218753	909.843019979178	0	0	0.0315303597229999	0.2581	2.88
II_Palsa_E1_d5	II_Palsa_E1	Enriched	Palsa	Two	5	1433.8472797357	980.074631824853	2413.92191156055	0	0	0.477258109210576	0.2581	2.88
II_Palsa_E2_d1	II_Palsa_E2	Enriched	Palsa	Two	1	4188.92792271397	1604.00398099781	5792.93190371179	0	0	0	0.2581	2.88
